original_index,problem,answer,topic,answer_type,multi_step,requires_reasoning,urls,kb_file
8,What is the name of the former Prime Minister of Iceland who worked as a cabin crew member until 1971?,Jóhanna Sigurðardóttir,Politics,Person,True,False,"https://kids.kiddle.co/J%C3%B3hanna_Sigur%C3%B0ard%C3%B3ttir,https://en.wikipedia.org/wiki/J%C3%B3hanna_Sigur%C3%B0ard%C3%B3ttir,https://www.britannica.com/biography/Johanna-Sigurdardottir",verified_0002.txt
9,To whom did Mehbooba Mufti Sayed contest the 2019 Lok Sabha elections and lose?,Hasnain Masoodi,Politics,Person,False,False,"https://www.indiatoday.in/elections/lok-sabha-2019/story/j-k-lok-sabha-results-2019-pdp-chief-mehbooba-mufti-loses-anantnag-seat-to-nc-hasnain-masoodi-1533245-2019-05-23,https://timesofindia.indiatimes.com/elections/lok-sabha-constituencies/jammu-kashmir/anantnag,https://en.wikipedia.org/wiki/Mehbooba_Mufti",verified_0003.txt
23,On which U.S. TV station did the Canadian reality series *To Serve and Protect* debut?,KVOS-TV,TV shows,Other,False,False,"https://en.wikipedia.org/wiki/To_Serve_and_Protect,https://play.google.com/store/tv/show/To_Serve_and_Protect?id=2D702407ED20EE6ASH&hl=ur&gl=US&pli=1,https://en.wikipedia.org/wiki/KVOS-TV",verified_0007.txt
31,"In 1810, François Aimé Louis Dumoulin published a collection of how many engravings themed on the journey of ""Robinson Crusoe""?",150 (acceptable range: anything between 148 and 152),Art,Number,False,False,"https://en.wikipedia.org/wiki/Fran%C3%A7ois_Aim%C3%A9_Louis_Dumoulin,https://www.theseus.fi/bitstream/handle/10024/510799/Payne_Sam.pdf;jsessionid=4E7D0553C98F587885B7F5A1C2BECF59?sequence=4",verified_0009.txt
61,What was Beloit College's Center for the Sciences renamed in 2017?,Marjorie and James Sanger Center for the Sciences.,Other,Other,False,False,"https://www.beloit.edu/live/news/155-naming-the-science-center,https://www.beloit.edu/live/news/1080-science-center-named-for-sangers,https://en.wikipedia.org/wiki/Beloit_College",verified_0018.txt
75,What is the first vampire number in recreational mathematics obtained by a 3x3-digit multiplication?,102510,Other,Number,False,False,"https://rosettacode.org/wiki/Vampire_number,https://medium.com/@bhaskaravsupraja/ever-heard-of-vampire-numbers-ac45830315a1,https://en.wikipedia.org/wiki/Vampire_number",verified_0024.txt
83,"According to Henry Scadding, author of ""Toronto of Old,"" how many people died on the HMS Ontario in 1780?",172 (acceptable range: anything between 170 and 174),History,Number,False,False,"https://archive.org/details/historyoftoronto01mulvuoft/page/217/mode/1up,https://www.gutenberg.ca/ebooks/scadding-torontoofold/scadding-torontoofold-00-h-dir/scadding-torontoofold-00-h.html",verified_0028.txt
297,Which one of the 1990 Fly Girls from the series In Living Color stayed for five seasons?,Deidre Lang,TV shows,Person,False,False,"https://en.wikipedia.org/wiki/List_of_In_Living_Color_cast_members,https://www.listal.com/deidre-lang",verified_0072.txt
397,"Which city in Nepal is known as the ""City of Nine Hills?""",Nuwakot,Geography,Place,False,False,"https://en.wikipedia.org/wiki/Nuwakot_District,https://nepaltraveller.com/sidetrack/nuwakot-the-city-of-nine-hills,https://en.wikipedia.org/wiki/Nuwakot",verified_0096.txt
432,"Le Chatelier's thermoelectric pyrometer, as discussed in the 1900 report ""Clays of New York, Their Properties and Uses,"" was considered accurate within how many degrees Fahrenheit?",10 (acceptable range: anything between 9 and 11 degrees Fahrenheit),Science and technology,Number,True,False,"https://www.google.com/books/edition/Clays_of_New_York/GygZAAAAYAAJ?hl=en&gbpv=1&bsq=thermoelectric%20pyrometer,https://nysl.ptfs.com/aw-server/rest/product/purl/NYSL/s/798ba2cb-27ae-4093-889c-926799428dc1",verified_0100.txt
